year,state_from,state_population_same_one_year_plus,state_population_same_house_one_year,state_population_same_state_one_year,state_population_different_state_residence_one_year,state_to,migration,total_migration_population,pct_migrated
2010,Alabama,4729509,3987155,620465,108723,Alabama,NA,121889,NA
2010,Alabama,4729509,3987155,620465,108723,Alaska,3013,121889,0.02471921174183068
2010,Alabama,4729509,3987155,620465,108723,Arizona,676,121889,0.005546029584293907
2010,Alabama,4729509,3987155,620465,108723,Arkansas,1481,121889,0.012150399133637982
2010,Alabama,4729509,3987155,620465,108723,California,3827,121889,0.031397418963155004
2010,Alabama,4729509,3987155,620465,108723,Colorado,1278,121889,0.010484949421194694
2010,Alabama,4729509,3987155,620465,108723,Connecticut,454,121889,0.003724700342114547
2010,Alabama,4729509,3987155,620465,108723,Delaware,811,121889,0.006653594663997572
2010,Alabama,4729509,3987155,620465,108723,District of Columbia,211,121889,0.00173108319864795
2010,Alabama,4729509,3987155,620465,108723,Florida,15062,121889,0.12357144615182666
2010,Alabama,4729509,3987155,620465,108723,Georgia,21644,121889,0.177571396926712
2010,Alabama,4729509,3987155,620465,108723,Hawaii,267,121889,0.0021905176020805815
2010,Alabama,4729509,3987155,620465,108723,Idaho,304,121889,0.0024940724757771416
2010,Alabama,4729509,3987155,620465,108723,Illinois,2503,121889,0.020535076996283503
2010,Alabama,4729509,3987155,620465,108723,Indiana,3945,121889,0.032365512884673764
2010,Alabama,4729509,3987155,620465,108723,Iowa,669,121889,0.005488600283864828
2010,Alabama,4729509,3987155,620465,108723,Kansas,649,121889,0.005324516568353174
2010,Alabama,4729509,3987155,620465,108723,Kentucky,1967,121889,0.016137633420571177
2010,Alabama,4729509,3987155,620465,108723,Louisiana,1901,121889,0.015596157159382716
2010,Alabama,4729509,3987155,620465,108723,Maine,97,121889,7.958060202315221e-4
2010,Alabama,4729509,3987155,620465,108723,Maryland,716,121889,0.005874197015317215
2010,Alabama,4729509,3987155,620465,108723,Massachusetts,435,121889,0.0035688208123784756
2010,Alabama,4729509,3987155,620465,108723,Michigan,2334,121889,0.019148569600210028
2010,Alabama,4729509,3987155,620465,108723,Minnesota,386,121889,0.0031668157093749233
2010,Alabama,4729509,3987155,620465,108723,Mississippi,7233,121889,0.05934087571478969
2010,Alabama,4729509,3987155,620465,108723,Missouri,1373,121889,0.01126434706987505
2010,Alabama,4729509,3987155,620465,108723,Montana,229,121889,0.0018787585426084388
2010,Alabama,4729509,3987155,620465,108723,Nebraska,169,121889,0.0013865073960734767
2010,Alabama,4729509,3987155,620465,108723,Nevada,265,121889,0.002174109230529416
2010,Alabama,4729509,3987155,620465,108723,New Hampshire,0,121889,0
2010,Alabama,4729509,3987155,620465,108723,New Jersey,356,121889,0.002920690136107442
2010,Alabama,4729509,3987155,620465,108723,New Mexico,650,121889,0.005332720754128757
2010,Alabama,4729509,3987155,620465,108723,New York,3686,121889,0.03024062876879784
2010,Alabama,4729509,3987155,620465,108723,North Carolina,2371,121889,0.01945212447390659
2010,Alabama,4729509,3987155,620465,108723,North Dakota,169,121889,0.0013865073960734767
2010,Alabama,4729509,3987155,620465,108723,Ohio,2222,121889,0.018229700793344763
2010,Alabama,4729509,3987155,620465,108723,Oklahoma,880,121889,0.007219683482512778
2010,Alabama,4729509,3987155,620465,108723,Oregon,485,121889,0.003979030101157611
2010,Alabama,4729509,3987155,620465,108723,Pennsylvania,1477,121889,0.01211758239053565
2010,Alabama,4729509,3987155,620465,108723,Rhode Island,0,121889,0
2010,Alabama,4729509,3987155,620465,108723,South Carolina,2368,121889,0.019427511916579838
2010,Alabama,4729509,3987155,620465,108723,South Dakota,31,121889,2.543297590430638e-4
2010,Alabama,4729509,3987155,620465,108723,Tennessee,7409,121889,0.060784812411292244
2010,Alabama,4729509,3987155,620465,108723,Texas,6500,121889,0.053327207541287565
2010,Alabama,4729509,3987155,620465,108723,Utah,1336,121889,0.01096079219617849
2010,Alabama,4729509,3987155,620465,108723,Vermont,0,121889,0
2010,Alabama,4729509,3987155,620465,108723,Virginia,2490,121889,0.02042842258120093
2010,Alabama,4729509,3987155,620465,108723,Washington,1171,121889,0.009607101543207344
2010,Alabama,4729509,3987155,620465,108723,West Virginia,41,121889,3.363716167988908e-4
2010,Alabama,4729509,3987155,620465,108723,Wisconsin,1155,121889,0.00947583457079802
2010,Alabama,4729509,3987155,620465,108723,Wyoming,27,121889,2.2151301594073295e-4
